Property,Minimum,Maximum,Mean,Median,Mode,Mode_Amount,Range,TotalItems
Units,32.0,512.0,346.0,384.0,512.0,20,480.0,81
LR,1e-05,0.1,0.010865555555555557,0.001,0.001,38,0.09999000000000001,81
Test_Loss,3.1559760827803984e-05,177.24432373046875,3.0,0.0018568006344139,0.0003158602921757,1,177.24429217070792,81
Test_Acc,0.005617806687951,13.313314437866213,0.0,0.0430906079709529,0.0177724584937095,1,13.307696631178262,81
Val_Loss,3.504085043459781e-06,48.77018356323242,0.0,0.0001291193912038,0.0001318038994213,1,48.77018005914738,81
